Invoice No.,Origin Code,Destination Code,Total Weight,Dispatch Date
INV_12062024_89,A123,13067405,836,12/06/23 00:00
INV_12062024_90,A123,11539696,36,12/06/23 00:00
INV_12062024_91,A123,12854172,648,12/06/23 00:00
INV_12062024_92,A123,12854130,760,12/06/23 00:00
INV_12062024_93,A123,12860572,600,12/06/23 00:00
INV_12062024_94,A123,12854149,800,12/06/23 00:00
INV_12062024_95,A123,12860572,664,12/06/23 00:00
INV_12062024_96,A123,10208719,360,12/06/23 00:00
INV_12062024_97,A123,10208698,280,12/06/23 00:00
INV_12062024_98,A123,10208707,152,12/06/23 00:00
INV_12062024_99,A123,10208696,148,12/06/23 00:00
INV_12062024_100,A123,10364922,182,12/06/23 00:00
INV_12062024_101,A123,10208629,40,12/06/23 00:00
INV_12062024_102,A123,10208651,163.6,12/06/23 00:00
INV_12062024_103,A123,10208119,376,12/06/23 00:00
INV_12062024_104,A123,10208499,195,12/06/23 00:00
INV_12062024_105,A123,10393503,180,12/06/23 00:00
INV_12062024_106,A123,12420540,195,12/06/23 00:00
INV_12062024_107,A123,10208701,208,12/06/23 00:00
INV_12062024_108,A123,10208694,392,12/06/23 00:00
INV_12062024_109,A123,10208641,3000,12/06/23 00:00
INV_12062024_110,A123,10208698,24,12/06/23 00:00
INV_12062024_111,A123,10208694,24,12/06/23 00:00
INV_12062024_112,A123,10208701,120,12/06/23 00:00
INV_12062024_113,A123,10364922,48,12/06/23 00:00
INV_12062024_114,A123,12231175,84,12/06/23 00:00
INV_12062024_115,A123,10208651,24,12/06/23 00:00
INV_12062024_116,A123,12420540,36,12/06/23 00:00
INV_12062024_117,A123,10208499,24,12/06/23 00:00
